full_text,POS
@mangoypalta abrazo sororoso nos encontraremos,P
A esta ciudad la siento más propia cuando está la gente que quiero. Ni tenemos 25 y ya nos agarro la ola migratoria de amig,N
"quiero ver las muñecas de la mafia,pero tengo que terminar mi examen y mañana tengo que hacer mi estúpido vídeo para el parcial y",N
Bob Dylan siempre ha sido un gran poeta Siempre lo dije. Siempre lo pensé. Sigo emocionada ¡Los tiempos están cambiando!,P
Mis buenas intensiones se fueron a la M cuando descubro que no tengo pegamento y el plano no entra en la base  Entrega 9:00 AM,N
"Cuando estas bien con DIOS el enemigo te pone incapie en el camino, pero yo no tengo miedo por que mi FÉ esta en DIOS.",P
"Nivel de inglés Sra @chechechacon ? Alto. Traduzca juguete. Toy. Úselo en una oración. Toy triste. Awww, vengache pa' acá",P
Dios guarda para mi lo mejor por que mi fe en el siempre perdurara por la eternidad. Quien busca encuentra y no se conforma con poco.,P
No muchas cosas me han hecho tan feliz en estos días como darme cuenta que todo Ape in pink marble de Devendra Banhart está en spotify.,P
"@emarlyworld feliz sabado para ti tbm,a los tiempos entro al twitter y es agradable que a la primera persona que vea, sea a ti !!!",P
"Y ahora, volvamos a la realidad... ¡ay Venezuela! Como me has hecho llorar desde lejos... con que tristeza digo que yo soy venezolano.",N
"sinceramente nunca me consideré belieber porque no es mi ídolo, pero sí, me encanta como artista y me sé toooodas sus canciones",P
No sé qué onda con spotify que ya llevo escuchando medio disco de serge y no me sale ninguna publicidad. Cómo engatuzan a l pobres,NEU
"Mi mejor amigo me quiere revender un cupón para un fds en un Hotel en Chincha. Qué, voy sola o qué? te pasaste de pendejo @Renzo_Ariza",N
"Bien Rafael, go ahead, no rscuches a los minusvalidos mentales red tomatoes, con climper y elmer cuba haran buen equipo!!!",P
No se por que bueno es bueno poner buena cara cuando estas sufriendo o no puedes con algo mirar al espacio nomas y acordarse de DIOS,NEU
"Mi vida cada día esta mejor, para mi gusto pero para molestia de muchos, lastima xq no debería molestarte lo que a otros los hace feliz",NEU
Hoy vi unas florecitas muy hermosas color lavanda !!! Y no pude recogerlas porque iba en el carro QUE IMPOTENCIA !!!!,N
"No sé porqué pero ya no me cae para nada, es más me da asquito y antes éramos amigas, aunque creo que ni eso consideraba ella",N
"Hoy mejoré un poquito, para alguien que no hace deporte hace como 1 año, hacer 4K luego de 1 semana de empezar esta bien creo.",P
"Uds locas por sun and moon me dieron ganas de jugar, pero hablan de stats y huevadas que ni idea. Yo feliz atrapando y combatiendo nomas",NEU
"@FChavezCabrera Lo leí y pensé en ti Quisiera ser una hormiguita y trepar por tu balcón para decirte al oído:guapo,bonito y bombón.",P
Le digo a mi gordo que pensaba irme de rumba y que me cancelaron a última hora. Y me dice que tomará un taxi lo amo!,P
@Melapplezz Ven para aca. -te abrazo fuerte- Se que no estoy fisicamente pero si estuviera haria de todo para que dejaras de sentirte mal,P
@AnimeMariana jajaa Pos yo igual queria verte cantar!!! :'''v Hubiera estado lindo. Pero pos creo que lo de 50 cosas seria algo genial,P
"""Contigo porque me matas y ahora sin ti ya no vivo"" -->Tal cual! Te mereces todo lo que has conseguido y conseguirás @AbrahamMateoMus",N
"Por gusto redacté un testamento para que Ale se lo publique a Steven ... Gracias Perú, me dejaste misio y encima Ale no publica nada",N
"@lghostfive ¿estás bien o estás ahí por alguien más? lo que sea que fuese, espero de todo corazón que no sea nada grave del todo",P
Bueno hoy fui a almorzar a Nanay con otras 3 dras xq la capacitación mal organizada no nos dió almuerzo y encima nos mandan a comer 2pm,N
Sigamos siendo felices felices felices,P
hay un monton pituelistas en mi inicio q piensan todo lo contrario a mi y no me pongo densa a comentarle todos sus twitts,NEU
"@Smilue TE AMOOOOOO CSM A LA FI,y la verdad que eres la única que soporto de las amigas de tú sabes quien jeje",P
Nunca voy a entender porque se fueron a eeg... El verdadero combate peru se fue ahi no se porque! TE VEO Y ME PICA VICICONTE,N
No hay una sola libreta que esté terminando y que tenga que poner el comentario final y no llore. Voy a extrañar demasaido mi clase,N
uno sale re feliz de la prepa y de pronto se encuentra con el trafico del mal y no hay cuando llegue a casa,N
@davidernestoz yo te veo bonito,P
"Bueno mi mama se quedo en casa acompañándolos, y bueno ella quiere ver Gisela, lo que tu desees madre! #nojuergahoy",P
"rama diciendo q mica se quede alla, tranqui q nosotros tambien queremos q se quede para q no este con hipocritas como vos @ramironayar",N
Yo quiero una rosa eterna,NEU
"#Guerrero es, de leeejos, la mejor película comercial que ha lanzado @Tondero hasta hoy. Lo cual no será decir mucho, pero es lo que es",P
"@CristhianRS ¿? ¿Cuál tema? ¿Cuál manejo? ¿Por qué malísimo? Bueno, si así descalificas a El País, mejor ni discuto contigo. Bs tardes",N
Pensé que este día no podía empeorar más y ahora Sali me dice que sus finales acaban un día antes de que me vaya,N
@omarvch @plazavea yo hace un momento literal,NEU
"Mi novio me quiere llevar a una fiesta y yo no quiero, el si es muy dependiente de mi a todos lados quiere ir conmigo #vesolosi",N
#felizcumplemichi pasala bien con tus seres queridos exitos en todo en lo k te propongas y exitos en #Bioquimica tambien ) si se puede,P
"En una nueva aventura; aprendiendo a aprender el área de Educación física, en un enfoque por competencias.",P
En la vet pq Aslitan está enfermito ...Hay una Sra. que está llorando pq a su perrito lo están operando,N
"...Yo solo googleaba y leía posts de Taringa, entraba a un Youtube diferente al de hoy.Y Gracias a todo eso hoy soy como soy @microbox6",NEU
@CJSuasnabar soy el perro asesinado,N
"@primerafuente1 q increíble, esas historias!!!siempre recibir los favores y sobre de un mismo lugar no? Dar el rhe a un único instituto.",P
"No puedo creer que en unas horas sere egresada!!! 21 años,2 carreras,estudios en europa,excelente trabajo Gracias Dios!",P
"Quiero que sepas que desde el fondo de mi corazón, me importa una mrda lo que pienses de mí",N
"Entran a la oficina y dicen ""Sólo les voy a pagar a las que no vienen con escotes pronunciados"".",NEU
"@ceciliablume @fzavalal SÍ, me gusta, qué creativo!. Aquí otros aportes: CabildeaPE, DesregulaPE, SinconsultaPE... Seamos integrales PE !",P
"@mamutida @Malfitan0 ¡gracias por el saludo! Jonasito está calentando la voz para entonar el ""feliz cumpleaños"" a lo Wagner",P
Se viene algo bueno #Navidad #Imelda #Tronconavideño #Fresas #frambuesas #blueberries @ Imelda,P
@cracks_oficial bueno felicidades por el millon de crack que hay en el canal !! soy un suscriptor ya un poco antiguo a por mas DE PERU,P
"Bueno yo puse todo de mi parte, paso siguiente: descartar lo pensado. Después que no me salga con que no lo intente. Bless",NEU
"No es bonito tener que leer 3 capítulos de fármaco para tu pasito, luego leer inmuno para ener y finalmente terminar tu trabajo final",N
"Era un señor de edad y eso. Y pues, es entendible. Pero que feo y difícil debe ser vivir eso",N
#ElPeorAmigoSecretoEs el que le dice a todos quien es su amigo secreto o el que te regala un caramelo diminuto que venció hace 2 meses,N
Mamá! No más paneton! No ves que ya he bajado como 8 kilos quieres que los suba en dos días?,N
Ptmr hoy se presenta trébol clan y recuerdo que en gotica se presentó y fue la última vez que lo vi y hice mi cagada claro,N
"Es raro que le sigan dando like a mi comentarios de octubre, pero me recuerda por qué lo puse",NEU
No te diré porque duele tanto sé que no quieres saber lo que pienso ni lo que diré ni mis motivos Tu eres realmente bueno para mi,NEU
Yo dije que ayer no debí salir pero es que AGGGGG matenme solol soy un ser humano pero esta vez sí LA cague BIEN feo,N
"Ayer mi profe me ubicó y fue genial hablar de tantos proyectos, en verdad de la nada nos encontramos con personas que nos motivan",P
Todo pudo ser tan bonito,N
"Hoy es feriado y el trafico será menos, igual o mayor en Lima, allá vamos con Fe",NEU
Yo quiero una familia así #ModernFamily,NEU
"Mi bebé primero reniega porque tiene hambre, y cuando ya comió un montón, reniega porque está muy llena. La más linda es",P
"Estoy con todos los sentimientos, odio las despedidas y hoy estaré muy emocional. Con fe mi último día aquí y nuevos retos por venir",NEU
Por esos amigos que les dices que estas triste y ya te están planeando las salidas hasta los viajes a futuro con ellos Como los quiero,P
"@LinkinParkPeru sería genial...Tengo q ir cotizando mis órganos por q si es cierto voy si o si, queda sentenciado! #LinkinParkenPeru2017",P
"@magdyelugaz q lindo verte llevando la alegria a las familias y niños en esas fiestas, espero que la pases lindo amiga Te deseo lo mejor",P
"Waze renunció a ser guía en le trafico limeño, le llego y se arrancó, Lima y su trafico del mal jaja",NEU
"Que ganas de estrellar un ladrillo en la cabeza de mi jefe, tirar la puta computadora por la ventana y quemar el lugar",N
"Hoy todos en la oficina se han burlado porque le he pedido a mi amigos secreto #PokemonMoon, me siento ""buliado""",N
"@PonyGaJr si algo a si parecia, eso fue raro .__. pero es un video, igual sabemos ellos dos estan juntitos y estan bien",NEU
Estoy segura que esta fue mi última entrevista a Jaime Saavedra como ministro de Educación. Vamos a perder un gran ministro.,N
@SoyCaracola si lugar de incalculables arrochadas,N
"Después de 10 años, los Cantantes Sin Futuro volvieron a tocar juntos en Arequipa y yo en Lima Maldita sea",N
Este mes es muy difícil 1er año de fallecida de mi sobrina cumpleaños de mi Madre y mi hermana,N
Sigamos siendo felices felices felices,P
"Despertar con la noticia de esta terrible tragedia . Dios los tenga en su gloria campeones , sabiduría y resignación para las familias",N
"Lo bueno de salir temprano es que puedo almorzar en mi casa, o sea, comida de verdad",P
"Al principio me dolió ese corazón azul, luego recordé cómo era y que no tiene bandera y se me pasó",P
@musadorada a tu PI? Pues asumo que si. Será tipo conferencia y te daremos certificado. Pasame tu nombre completo,NEU
"Qué bonito es entrar a tu correo y que dos empresas, al mismo tiempo, te confirmen un fuerte auspicio",P
"@2820gchu maldito ataque de ansiedad tampoco lo soporto, es por eso que los dramas en emisión me hacen sufrir horrores",N
"Un sentimiento y sensación hermosa que disfruto segundo a segundo con ganas enormes de abrazarte sin morbo ni nada, solo algo tan puro.",P
"@IvettlyOficial Yo igual, recuerdo que siempre te estaré apoyando en todo, a pesar de la distancia, siempre estaré aquí.",P
"Si tu día esta amargo ""pues dale una movida"" aveces el azúcar esta en el fondo.",NEU
"@karim0603 jajajaja... yo no insulto a nadie, ni bloqueo... yo me comporto en el Twitter como en mi vida normal...",NEU
"Extraño las clases de biblia del Pastor Manzanares y sus no tareas , aún no supero que se haya ido",N
"Fue muy bonito postular para el CEUP, hacer cosas que nunca pensé que podía en cortísimo tiempo, de hecho me enseñó a organizarme. #feliz",P
Hasta las últimas consecuecias #Abrahamers #Lealtad,NEU
"@ldpilarevolledo tolerancia pilu, tolerancia siempre nadie es mejor o peor por la musica que escucha shaky shaky shaky shaky shaky",NEU
@eunhyukeeprince por eso yo también tengo mis bias.. y apoyo a los demás pero la mayoría del fandom no y pos..,NEU
"@eunhyukeeprince no te preocupes ^^ como dije...ELF puede hacer lo que quiera, a mi solo me importa SJ",NEU
"Taaaanto que se mueren por saber de mi, vamo a dejar que me stalkeen para que luego se puedan ir felices a la mrda",N
"Por fin río, caray. Después de lo de ayer, pensé que me iba a deprimir, pero hoy estoy feliz",P
"El mejor regalo de hoy, aparte de mucha comida, Ganó Perú..!!! #VamosPerú #10/11",P
@unforesto @YurikitoKSP lo dice para hacernos sentir mejor u.u jaja...Pero bueno eres más joven tienes mucho por ver y hacer . Éxitos!,NEU
@mario_hart de parte de mi hermana ella dice que por que no te vuelves a pintar de rubio que asi de rubio te queda mejor piensalo,NEU
"Si solo votaran los #millenials, no habría #Brexit, Rajoy no hubiese sido reelecto, y se habría firmado el Acuerdo de Paz en Colombia.",NEU
@popstitude nadie quiere escuchar tu (horrible) música. Deberías respetar el área común. (Imbesil) super polite!,N
Comenzando mal la semana enfermandome,N
Los días pasan y cada salida es tan genial a tu lado Eres lo máximo y lo mejor que me ha pasado este año.,P
"No se con qué rayos pintan la señaletica de las pistas, pero mi cuarto apesta a esa huevada",N
"Cada vez que escucho ""Instituciones"" de Sui Generis se me escarapela la piel por lo hermosa que es y también me acuerdo de ti",P
"Feliz por las salvadas por el público y la salvada por el jurado canta dms bien pero la veo como solista, Aimee era más para #LaBanda",P
Lo que se enojó cuando le dije que me iva a ir a pachanga :v jajajajajaja lindo amiguito resultó ser,N
"No es el ayer ni el futuro quien nos determinan sino lo que hacemos en el aquí y el ahora, donde todo es posible",NEU
"@mchl1782 @SalitaSin @CharitoObando Mas bien, penoso desconocimiento diversas realidades del Perú. Ahora anda preocupada x el clásico(!?)",N
El segundo video del Otaku Fest está a un 60% (?) ;_; Espero esté listo para el día lunes,N
"Papá:Yo quería ir al clásico contigo nena,pero el domingo juego 3:30pm y otra vez no me verás. Yo: Ay noooo papi",NEU
@Yeesus_ @laMaquinaPeru @CSerranoTV ya no es lo mismo,N
Cómo todo los VIERNES siempre esperando @Rapperground RAP en la radio a la media noche 12:00am vía los 102.7 FM radio filarmónia yeahh,P
Este es el único día del año en el que me muero de ganas por salir a una disco y no tengo con quién,N
Que día mas agotador.... conferencia laboratorio y clase sin parar y para cerrar el día..... mañana tengo clases full day yeeee!,N
Tan desesperado que hasta stalkea,N
"@tenyexrsgone A mi me jode bastante eso créeme, y mas aun que de acá ni del hotel salieran, no se porque siempre lo mismo",N
"@IvettlyOficial Gracias a ti por todo, por el cariño que brindas a tus seguidores, por ser tan buena, por ser como eres simplemente.",P
Ese momento en ronque agarras el sueño profundo y te despiertan de la peor forma .... Que maldad,N
"Creo que es la primera vez que no me deprimo por la fecha de mi cumple, esta vez la preocupación por mi sustenta le ganó",N
creo que ambos nos seguimos leyendo pues bueno espero estés bien y poder conversar en algún momento éxitos en todo y vibras,P
Antes el Matsuri era gratis despues subio a 10S/. Ahora 20S/ y ahora es limitado Ya nada sera como antes...,N
@ElMiyashiro @elguilledice @angelabandonado @perudirector @recomienda_pe @Andresilvachuy Ya vere tu peliii exitos,P
"@odiomistweets No puede ser, eso me está pasando en estos momentos, hace rato estaba good happy y ahora solo i cry",N
@MarifeCastroR si que bueno les gusto eso buscamos que las personas les guste la interpretación y cosplay muchas gracias a ti,P
"Ptm, en serio Rafael se pasa!! En fin, mejor no me meto en ese asunto",NEU
"¡Gran ejemplo a seguir Lennon! inspiradora eeriencia ""De agilista a empresario #devHangout con @lshimokawa @devacademyla""",P
"@neohelden ¿En serio?? Ignoras por convicción, esa es una ;lo de intereses de universidades se ha dicho hasta el cansancio.",N
"Por Navidad que tus huelepedos te regalen agüita de azahar, cosa que te calmas y dejas de enviar DM porque te hicieron LEÑA en Twitter.",N
Que huevada es trabajar feriado,N
"Yo también podría subir las fotos de mis comidas y juguitos fit, mi rutina en el gym but ¿Cúal es el fin? #genteposera #FelizJueves",N
"@dane_ng A Ud. parece que sí, porque la educación que TODO MUNDO recibe por lo visto le choca de sobremanera.",N
"@yamtst uuuuy más que feliz con eso, quiero ir a verte!!! Tengo mis últimas vacaciones",P
Aquí con mi buen amigo 'Carl' de la película 'UP' Lo máximo!,P
Viendo la que será de hecho una de las sorpresas del cine peruano del 2017. Nueva sangre para renovar nuestra filmografía nacional,P
"Casi el 80% de los pobladores estamos mal ubicados, en un terremoto estiman 50 mil muertos en Lima",N
¡Feliz Nuevo Nacimiento! Un infinito GRACIAS por tu Presencia aqui. ¡Un Abrazo Enorme!. Alicia.,P
Como se va ir @NeneElx276 el fue uno de los principales jugadores que nos dio la novena.,N
"@claudiacisneros ...nada queda de ese Canal N que informaba la verdad cuando todos los medios estaban vendidos, que pena",N
Lo bonito de esta madrugada fue terminar bailándole a la mamita en otuzco y regina me abrace en el buss porque yo tenia mucho miedo,NEU
"@ArandaPuig lamentó si le parecí prepotente, pero simplemente respondí a su afirmaciones erróneas. Puede preguntar cuanto quiera.",NEU
"Al fin se inauguró el nuevo estacionamiento del parque Kennedy! Y será gratis hasta fin de año, habrá que ir a probarlo con la bici",P
Solo entré a tw a confirmar la noticia y de verdad fue lo peor! no paro de llorar,N
"@204Danielle Extrañaremos mucho a Tamara, la mala mas buena vivirá siempre en nuestros corazones.",N
"@ViviSantosP Nunca olvidaremos a Dulce y a Robi, 2 grandes androides con un corazón gigantesco.",NEU
@monich16 las que podrian llorar al verla aca son las feministas es medio brava la pela. Buenaza!,NEU
"@_fersha_ rajado! Y es un hombre, eso me halaga más, lo compró todo él solito",P
@mariobautista_ te amo mucho ojalá lo supieras,P
Creo que lo mas jodido del 2016 ya me ha pasado y ya estoy lista para lo que venga! jodidamente bien,P
Sin duda ha sido la semana más larga del mundo a su vez ha sido una de las más bellas,P
"@rathaly Falleció el perro de mi amigo ""Pazuz"" por eso lo recuerdo así. No me tires un zapato. Estoy tristita.",N
feliz por tener conmigo a mi hermosa familia que dios me los cuide y bendiga siempre #seguimosconfuerza,P
"@GeMarines @FlacoRicardo19 que tal mama! Mi madre a veeeeeces cuando me ve cansada me prepara algo caliente, igual es linda",P
"@IvettlyOficial Tú también eres muy bella, gracias por hacer cada día mas hermoso con tu sonrisa y tu forma de ser.",P
"Afortunadamente todo te quepa re-bien Pero este look tuyo no me agradó Pero eso no es primordial, tu esencia…",N
"No creo el amor a primera vista, pero si el querer en la primera noche",NEU
Se acuerdan de la canción de la 83line y KangIn? La de Ferrari? Era buena,P
@JustBloomTeam Katy le dió like en instagram y en mis Rt hace dos días los vieron juntos,NEU
"Los miércoles son lindos, quedarme en casa hasta las 10am me parece un lujo",P
@venezuelanita Así es un saludo desde Perú! La vida es mejor con un buen vino o un buen café!,P
Siempre se fugan los ex presidentes #Nadine,NEU
"@RenzoMirandaQ JAJAJAJAJAJAJAJA ¿estás racista, Rosado? Blanquito y todo te acepto, así me discrimines por negra",NEU
@CaELiKe Que tengas un fantástico día Caeli,P
@corodario Hola Feliz Cumplee pasala genial al lado de tu familia y amigos!! espero me respondas pronto...,P
"El dolor. Pude tener muchas definiciones, pero el dolor de una madre por la repentina partida de un hijo; es un dolor irreparable. #Dolor",N
@LaliaB24 No podré concursar entonces y encima el proximo mes se vence mi suscripción al gimnasio.,N
me siento orgullosa de ser tu fan @selenagomez desde hace muchos años ...ese speach lo dijo todo te sigo admirando,P
No es bonito estar sin celular,N
@vivianxhv se alejaron fue doloroso. Zayn dice que se habla poco con Liam. (El único),N
Que horrible ser tan Celosa,N
estoy apunto de estar feliz pueden creer eso ? yo no !,P
Tener tantos días libre y esperar al último para hacer trabajos jajajaja,N
@lux_obrien jajaja enserio? a mi no me anda o bueno creo que no la se usar nose,NEU
"Ojala pudiera devolver el tiempo, para verte de nuevo, para darte un abrazo y nunca soltarte . #IMissYou #MyAngel",N
@TatoGI cada cantante y canción nueva caray,NEU
Triste aburrido perdido sin saber q hacer solo quiero desaparecer para siempre a nadie le importara no encuentro otra salida...,N
Yo solo quiero que me engria,NEU
"No puede ser! Los 2 @cineplanet de #Trujillo cerrados, yo quería ver @calichinlapeli @ElMiyashiro",N
Feliz día a todos mis amigos músicos y a todos los músicos en general. Pásanela bonito #Música #Rock #vida #felicidad,P
Cuando todo es felicidad y falla un sector del disco de la laptop y se borran archivos muy importantes de la chamba,NEU
Creo que soy muy rencorosa,N
"Buenos días amigos, detrás de una sonrisa hay una esperanza que avanza vamos con actitud y Fe",P
Brother en verdad me duele el cuerpo y no tengo la más mínima idea del porqué,N
Tendré que aprender a usar protector... Insolación Lo bueno es que me divertí mucho paseando en bici con mi segunda familia,P
@TatoGI los años no pasan en vano,NEU
"@cornejorugel31 ya me imagino su calor que debe estar haciendo allá, ya me imagino negra",NEU
Solo emociona la primera etapa,P
@joannabolona que paso? también?... vao a jugar FIFA15 en play 3.. con unas coronas!... hahaha! se vienen mejores días! saludos!,P
"Estoy muy feliz por las chicas , todo lo que han crecido en la industria estoy muy feliz las amo con todo mi corazón #5HonAMAs",P
"Me gustaría pensar que me están haciendo un bluffing, de esos que yo haría. Pero algo me dice que no es así",NEU
"@mariomejiah bueno, no será troll pero Arana dice que no está de acuerdo paradojas de este congreso estrafalario",N
Me siento estafada con la hamburguesa pensé que era de pollo pero de pollo con pavo ?? #nomegusta,N
Jamas dejare de pasar una navidad y mucho menos un año nuevo fuera de casa,NEU
"Que tristes son los velorios y entierros, mi Papá está llorando peor que un bebito recien nacido",N
Me siento tan estúpido de haber abierto una herida ya cicatrizada a alguien que aún me sigue importando.... lo siento,N
Éramos como el agua y el aceito en un momento pero al final llegamos a mezclarnos en un sentimiento mutuo...,P
"Después de unos cuatro días de ermitaña, salir al sol no me hizo muy bien fiebre largate",N
Quiero una ropa de baño entera. Pueden no cobrar MIL soles por un poquito de tela con huequito?.Gracias,N
Esas personas que se aclaman los señores de la lectura -Libro favorito? -Cazadores de sombras #MeCortoUnHuevi,N
"#LatinaTeMaltrata achachaaaaay, primero los ""intocables"" de los realities y ahora esto, se dan cuenta quiénes dirigen la Tv Basura?",N
